Data from robot gripper sensors											
Nov-14											
"Data generation: Physical testing and data logging"												
"Hardware: human, Robotiq hand"												
Grasp #	left finger	right finger	middle finger	palm	maxofleft	maxofright	maxofmiddle	maxofpalm
309	106	250.5	160.5	2.1333332	377	401	297	22
310	204.5	253.75	159	0.7333332	427	403	308	3
311	70	20	53.75	224.8	102	63	108	447
312	14.75	236	189.25	6.1333332	24	416	295	51
313	11.75	127	54.25	133.1333332	14	292	88	454
314	3.75	34.5	50.5	4.4666668	9	82	92	45
315	1.75	17.25	6	0.7333332	5	52	17	2
316	36	2.5	6.25	3.4	142	5	12	34
317	0.75	2	17.75	0.9333332	1	4	54	3
318	157.25	5.75	87.5	0.2	320	11	247	1
319	203.5	1	221	0.4666668	417	2	457	1
320	204.5	3	201.5	0.8666668	424	8	405	2
321	21.75	291.25	108.25	211.8666668	52	452	198	456
322	246	212.75	219.75	149.1333332	472	420	440	433
323	179.75	203.75	153.5	170.0666668	349	472	327	436
324	194.5	194.5	92	169.8	342	497	309	452
325	44.75	0.47125 0.250625	160.8666668	131	452	144	455	
326	264.75	39.25	96	153.2	392	101	320	440
327	232.25	78.25	148.5	225.2666668	368	162	376	440
328	124.25	72	183.75	2.2666668	348	286	433	8
329	117.25	16.25	105.75	0.9333332	330	51	396	3
330	3	36	193	1.4	6	88	440	4
331	41.75	166	66.25	196.6666668	117	501	220	449
332	46.25	121	203.75	158.6	145	268	440	450
333	256.5	49.25	193	169.7333332	481	169	465	459
334	52	123.25	82.5	186.2666668	114	481	309	467
335	33.25	160.25	190	187.1333332	102	438	398	484
336	18.75	132	128.75	49.2666668	65	459	205	384
337	11	203.5	95.75	242.0666668	32	502	330	500
338	15.75	18.25	158.5	1.0666668	29	52	482	2
339	138	198	155	0.6666668	346	429	448	2
340	14	18.25	172	0.7333332	41	50	445	4
341	66.25	185	121.75	164.4666668	99	496	345	497
342	10.25	125.75	146.5	144.6	24	470	347	443
343	4.5	31.5	134.25	163.7333332	10	79	342	446
344	6.25	13.5	237.75	151.8	11	20	492	435
345	15.25	38.5	115	221.8	41	66	342	450
346	6.5	87.25	113.5	162.4	14	194	325	444
347	3.25	21	124.25	179.7333332	6	59	346	440
348	169.75	118	219.25	1.0666668	305	420	441	3
349	96.75	85	218.75	0.5333332	300	265	454	2
350	24	26.75	296.25	0.8666668	55	40	458	3
351	10	142.5	152.25	177.2	31	391	368	457
352	290.5	13.75	216	155.2666668	498	32	435	448
353	25.75	133.5	165	12	65	462	337	106
354	19.5	53.75	156.5	185.7333332	50	142	345	466
355	23.75	122.5	161.75	13.2	83	435	461	142
356	27	279.25	142	172.6666668	66	504	343	446
357	24.75	275	142.25	218.0666668	64	491	310	500
358	119.75	149.25	135.5	1.9333332	399	383	424	10
359	160	185.5	150.5	1	355	463	431	3
360	94.75	124.5	1.75	0.3333332	328	336	4	0
361	193.5	33.25	189.25	194.5333332	400	80	327	473
362	23.25	11	168	133.8	46	29	339	487
363	203.75	44.75	224.5	150.4666668	398	142	323	418
364	90.25	55.25	220.75	95.6	277	157	352	405
365	206.25	31.75	168.75	130.6	410	68	333	404
366	41.5	26	178	184.4666668	97	59	328	434
367	181.25	70.75	179.25	100.8	360	163	343	360
368	161	25.25	203	148.6	350	59	335	474
369	348.5	7.5	11.25	3.6666668	415	18	17	17
370	372.5	2.75	13.25	2.8666668	424	6	39	14
371	380	31.75	18.5	2.8666668	450	94	51	9
372	223	192.5	194.5	164.6666668	375	424	360	403
373	130.75	136.75	176.75	162.3333332	376	348	343	409
374	287.75	210	191	135.7333332	409	447	338	425
