Data from robot gripper sensors											
Nov-14											
"Data generation: Physical testing and data logging"												
"Hardware: human, Robotiq hand"												
Grasp #	left finger	right finger	middle finger	palm	maxofleft	maxofright	maxofmiddle	maxofpalm
202	0.001875	0.47875	0.0075	0.064333333	0.0025	0.985	0.02	0.345
203	0.003125	0.465625	0.009375	0.057166667	0.0075	0.9075	0.0175	0.2575
204	0.003125	0.46	0.011875	0.078	0.005	0.9575	0.0225	0.4
205	0.0025	0.466875	0.005625	0.078	0.0075	0.975	0.01	0.42
206	0.004375	0.480625	0.010625	0.063166667	0.01	0.97	0.02	0.2225
207	0.059375	0.505	0.5	0.002166667	0.125	0.9025	0.955	0.01
208	0.085625	0.55875	0.5575	0.001	0.24	0.9075	0.75	0.0025
209	0.074375	0.006875	0.30375	0.001166667	0.1575	0.0175	0.7825	0.005
210	0.004375	0.261875	0.01	0.053	0.01	0.98	0.02	0.395
211	0.064375	0.169375	0.010625	0.098166667	0.19	0.55	0.02	0.8125
212	0.0125	0.32875	0.005625	0.034	0.04	0.94	0.01	0.3175
213	0.00125	0.43125	0.003125	0.050833333	0.005	0.9875	0.005	0.3325
214	0.00125	0.378125	0.005625	0.030833333	0.0025	0.925	0.0125	0.19
215	0.001875	0.33	0.010625	0.03	0.0075	0.9225	0.015	0.1475
216	0.00125	0.31125	0.010625	0.030333333	0.0025	0.865	0.0175	0.1325
217	0.20875	0.486875	0.22125	0.002833333	0.755	0.89	0.615	0.0075
218	0.013125	0.54875	0.56	0.002	0.02	0.885	0.8675	0.005
219	0.37125	0.575625	0.423125	0.001833333	0.735	0.9	0.76	0.005
220	0.016875	0.318125	0.0125	0.027666667	0.04	0.8325	0.04	0.1625
221	0.008125	0.271875	0.005	0.044166667	0.025	0.92	0.01	0.2575
222	0.0375	0.28125	0.011875	0.0835	0.0975	0.89	0.0175	1.0425
223	0.00625	0.359375	0.0075	0.024666667	0.0175	0.955	0.0125	0.1625
224	0.33875	0.0125	0.00875	0.133833333	0.7325	0.025	0.015	0.72
225	0.2525	0.044375	0.0075	0.106	0.7275	0.07	0.015	0.7125
226	0.026875	0.263125	0.005625	0.019333333	0.04	0.9925	0.01	0.0725
227	0.030625	0.346875	0.005625	0.031	0.06	0.98	0.0125	0.3
228	0.043125	0.529375	0.255625	0.0025	0.1275	0.88	0.5575	0.0075
229	0.29375	0.56875	0.455	0.001166667	0.7125	0.895	0.815	0.005
230	0.055	0.03875	0.45875	0.003666667	0.1225	0.075	0.9375	0.0125
231	0.185625	0.030625	0.795625	0.003333333	0.6875	0.0775	0.905	0.01
232	0.024375	0.020625	0.048125	0.044333333	0.055	0.035	0.095	0.4975
233	0.001875	0.003125	0.006875	0.0015	0.005	0.005	0.0225	0.005
234	0.009375	0.003125	0.00375	0.004166667	0.02	0.01	0.01	0.02
235	0.001875	0.003125	0.006875	0.0015	0.005	0.005	0.0225	0.005
236	0.0075	0.00375	0.000625	0.002	0.015	0.005	0.0025	0.01
237	0.011875	0.010625	0.0075	0.001833333	0.035	0.0275	0.0175	0.005
238	0.219375	0	0.05125	0.001	0.74	0	0.0875	0.0025
239	0.025	0.00125	0.274375	0.001	0.0725	0.0025	0.58	0.005
240	0.035	0.000625	0.0125	0.001333333	0.07	0.0025	0.04	0.005
241	0.000625	0.000625	0.000625	0.0015	0.0025	0.0025	0.0025	0.0025
242	0.010625	0.008125	0.00125	0.012	0.03	0.015	0.005	0.1375
243	0.02375	0.008125	0.000625	0.002833333	0.045	0.02	0.0025	0.025
244	0.020625	0.01875	0.001875	0.0035	0.06	0.035	0.005	0.0225
245	0.01	0.006875	0.000625	0.006166667	0.0225	0.02	0.0025	0.0525
246	0.02625	0.035	0.000625	0.002166667	0.045	0.095	0.0025	0.02
247	0.019375	0.005	0.000625	0.001666667	0.0525	0.015	0.0025	0.005
248	0.091875	0.00375	0.036875	0.001	0.215	0.01	0.1175	0.0025
249	0.06625	0.01625	0.4175	0.001	0.1425	0.06	0.7975	0.005
250	0.2925	0.069375	0.21125	0.125666667	0.8625	0.1425	0.795	0.8275
251	0.41125	0.1175	0.2575	0.104	0.81	0.395	0.6825	0.6425
252	0.360625	0.0375	0.275	0.120666667	0.9125	0.0975	0.885	0.83
253	0.304375	0.315	0.015	0.008666667	0.825	0.89	0.0325	0.0775
254	0.204375	0.06	0.145	0.097833333	0.7375	0.2	0.39	0.6775
255	0.206875	0.126875	0.074375	0.007666667	0.7525	0.29	0.185	0.0675
256	0.284375	0.1	0.011875	0.028333333	0.8	0.36	0.02	0.145
257	0.23375	0.12375	0.105625	0.096666667	0.79	0.3775	0.3725	0.5575
258	0.375	0.459375	0.415625	0.002166667	0.8925	0.89	1.025	0.005
259	0.340625	0.54875	0.680625	0.001166667	0.895	0.8675	1.125	0.0025
260	0.50125	0.675	0.655	0.0015	0.89	0.945	1.145	0.005
261	0.000625	0.000625	0.000625	0.0015	0.0025	0.0025	0.0025	0.0025
262	0.010625	0.008125	0.00125	0.012	0.03	0.015	0.005	0.1375
263	0.48375	0.083125	0.473125	0.486333333	1	0.2	0.8175	1.1825
264	0.058125	0.0275	0.42	0.3345	0.115	0.0725	0.8475	1.2175
265	0.509375	0.111875	0.56125	0.376166667	0.995	0.355	0.8075	1.045
266	0.225625	0.138125	0.551875	0.239	0.6925	0.3925	0.88	1.0125
267	0.515625	0.079375	0.421875	0.3265	1.025	0.17	0.8325	1.01
268	0.10375	0.065	0.445	0.461166667	0.2425	0.1475	0.82	1.085
269	0.453125	0.176875	0.448125	0.252	0.9	0.4075	0.8575	0.9
270	0.4025	0.063125	0.5075	0.3715	0.875	0.1475	0.8375	1.185
271	0.87125	0.01875	0.028125	0.009166667	1.0375	0.045	0.0425	0.0425
272	0.93125	0.006875	0.033125	0.007166667	1.06	0.015	0.0975	0.035
273	0.95	0.079375	0.04625	0.007166667	1.125	0.235	0.1275	0.0225
274	0.5575	0.48125	0.48625	0.411666667	0.9375	1.06	0.9	1.0075
275	0.326875	0.341875	0.441875	0.405833333	0.94	0.87	0.8575	1.0225
276	0.719375	0.525	0.4775	0.339333333	1.0225	1.1175	0.845	1.0625
277	0.73375	0.531875	0.46875	0.382833333	1.01	1.105	0.855	1.15
278	0.778125	0.615625	0.5625	0.283833333	1.145	1.08	0.9475	1.21
279	0.48	0.221875	0.5275	0.3725	0.905	0.4625	0.985	1.2175
280	0.736875	0.466875	0.55	0.315	1.21	1.0525	1.025	1.2275
281	0.975625	0.191875	0.06125	0.076833333	1.055	0.69	0.135	1.02
282	1.049375	0.0675	0.008125	0.004166667	1.14	0.12	0.01	0.0225
283	1.049375	0.0675	0.008125	0.004166667	1.14	0.12	0.01	0.0225
284	0.530625	0.13625	0.611875	0.4405	1.115	0.41	1.0425	1.19
285	0.45	0.085625	0.01875	0.290833333	0.87	0.225	0.0525	1.1275
286	0.085	0.093125	0.52625	0.4575	0.33	0.245	1.0325	1.1525
287	0.041875	0.15875	0.50125	0.474166667	0.1175	0.395	0.9475	1.1675
288	0.005625	0.0125	0.015	0.0195	0.0125	0.035	0.05	0.0825
289	0.424375	0.105625	0.519375	0.478	0.845	0.2	0.9775	1.1625
290	0.45875	0.106875	0.54125	0.4645	0.9225	0.275	0.9675	1.2175
291	0.213125	0.10375	0.549375	0.465166667	0.6375	0.2625	0.985	1.22
292	0.965	0.068125	0.0325	0.0565	1.195	0.1525	0.085	0.39
293	0.950625	0.74125	0.03125	0.0135	1.18	1.14	0.065	0.0825
294	0.956875	0.419375	0.17375	0.006333333	1.2025	0.81	0.5075	0.0275
295	0.414375	0.041875	0.75375	0.586666667	0.8825	0.085	1.0225	1.2025
296	0.42875	0.0275	0.628125	0.599666667	0.9325	0.0725	1.07	1.12
297	0.295	0.020625	0.53125	0.613166667	0.855	0.06	0.9725	1.1975
298	0.414375	0.041875	0.455	0.590333333	0.845	0.1125	0.84	1.18
299	0.416875	0.03875	0.464375	0.476166667	0.83	0.1175	0.855	1.2075
300	0.366875	0.04	0.418125	0.562833333	0.7925	0.145	0.84	1.2025
301	0.06375	0.53875	0.19	0.33	0.19	1.085	0.3825	1.255
302	0.13875	0.56125	0.214375	0.356833333	0.2525	0.94	0.5125	1.2225
303	0.0375	0.34125	0.381875	0.019666667	0.08	0.995	0.78	0.19
304	0.088125	0.526875	0.38875	0.401333333	0.205	1.0125	0.5275	1.26
305	0.585625	0.341875	0.363125	0.365	1.0525	0.92	0.7525	1.0975
306	0.17375	0.39	0.29375	0.440666667	0.4225	1.075	0.685	1.0925
307	0.485	0.2525	0.250625	0.520333333	0.9625	0.9775	0.675	1.09
308	0.4625	0.61375	0.4575	0.004833333	0.9575	0.9975	0.8425	0.03
309	0.265	0.62625	0.40125	0.005333333	0.9425	1.0025	0.7425	0.055
310	0.51125	0.634375	0.3975	0.001833333	1.0675	1.0075	0.77	0.0075
311	0.175	0.05	0.134375	0.562	0.255	0.1575	0.27	1.1175
312	0.036875	0.59	0.473125	0.015333333	0.06	1.04	0.7375	0.1275
313	0.029375	0.3175	0.135625	0.332833333	0.035	0.73	0.22	1.135
314	0.009375	0.08625	0.12625	0.011166667	0.0225	0.205	0.23	0.1125
315	0.004375	0.043125	0.015	0.001833333	0.0125	0.13	0.0425	0.005
316	0.09	0.00625	0.015625	0.0085	0.355	0.0125	0.03	0.085
317	0.001875	0.005	0.044375	0.002333333	0.0025	0.01	0.135	0.0075
318	0.393125	0.014375	0.21875	0.0005	0.8	0.0275	0.6175	0.0025
319	0.50875	0.0025	0.5525	0.001166667	1.0425	0.005	1.1425	0.0025
320	0.51125	0.0075	0.50375	0.002166667	1.06	0.02	1.0125	0.005
321	0.054375	0.728125	0.270625	0.529666667	0.13	1.13	0.495	1.14
322	0.615	0.531875	0.549375	0.372833333	1.18	1.05	1.1	1.0825
323	0.449375	0.509375	0.38375	0.425166667	0.8725	1.18	0.8175	1.09
324	0.48625	0.48625	0.23	0.4245	0.855	1.2425	0.7725	1.13
325	0.111875	0.47125 0.250625	0.402166667	0.3275	1.13	0.36	1.1375
326	0.661875	0.098125	0.24	0.383	0.98	0.2525	0.8	1.1
327	0.580625	0.195625	0.37125	0.563166667	0.92	0.405	0.94	1.1
328	0.310625	0.18	0.459375	0.005666667	0.87	0.715	1.0825	0.02
329	0.293125	0.040625	0.264375	0.002333333	0.825	0.1275	0.99	0.0075
330	0.0075	0.09	0.4825	0.0035	0.015	0.22	1.1	0.01
331	0.104375	0.415	0.165625	0.491666667	0.2925	1.2525	0.55	1.1225
332	0.115625	0.3025	0.509375	0.3965	0.3625	0.67	1.1	1.125
333	0.64125	0.123125	0.4825	0.424333333	1.2025	0.4225	1.1625	1.1475
334	0.13	0.308125	0.20625	0.465666667	0.285	1.2025	0.7725	1.1675
335	0.083125	0.400625	0.475	0.467833333	0.255	1.095	0.995	1.21
336	0.046875	0.33	0.321875	0.123166667	0.1625	1.1475	0.5125	0.96
337	0.0275	0.50875	0.239375	0.605166667	0.08	1.255	0.825	1.25
338	0.039375	0.045625	0.39625	0.002666667	0.0725	0.13	1.205	0.005
339	0.345	0.495	0.3875	0.001666667	0.865	1.0725	1.12	0.005
340	0.035	0.045625	0.43	0.001833333	0.1025	0.125	1.1125	0.01
